id,reliability,trust,confidence,satisfaction,predictability,understandability,user_id_id,usefulness,comfortable,surprised,age_group,education,gender,numeracy_fractions,numeracy_shirt,numeracy_useful
35,3,3,4,3,3,3,44,3,2,3,26-34,associate,female,3,2,2
36,6,6,6,6,6,6,39,6,6,6,older_than_70,some_college,female,6,6,6
37,4,4,4,3,4,4,50,4,4,4,35-40,high_school,female,4,4,4
38,7,4,2,1,1,1,66,2,1,1,35-40,some_college,female,4,4,5
39,2,2,2,1,1,1,74,2,1,1,35-40,some_college,female,3,4,4
40,7,6,6,7,6,6,46,6,7,7,26-34,high_school,female,3,5,5
41,5,6,3,7,3,4,49,6,4,5,56-70,trade_technical,male,5,6,6
42,7,7,7,4,6,7,78,6,7,7,26-34,some_college,female,5,6,5
43,6,6,6,7,7,7,58,7,7,6,18-25,some_college,female,4,4,4
44,7,6,7,7,7,5,69,7,7,5,35-40,high_school,female,6,6,5
45,2,2,2,2,2,2,45,2,5,2,older_than_70,some_college,female,2,5,3
46,2,2,2,2,2,2,45,2,5,2,older_than_70,some_college,female,2,5,3
47,3,4,3,4,4,4,43,5,4,4,56-70,bachelor,female,3,3,4
48,3,3,3,3,5,5,63,4,3,4,41-55,trade_technical,female,2,2,3
49,2,2,2,2,2,2,79,2,2,2,18-25,high_school,female,2,2,2
50,2,1,2,2,2,2,81,2,2,2,41-55,bachelor,female,6,6,6
51,3,3,3,2,2,2,73,3,2,2,41-55,high_school,male,6,6,6
52,6,5,5,5,5,5,55,6,4,5,56-70,some_college,male,4,4,5
53,2,2,2,2,3,3,72,2,2,2,26-34,high_school,prefer_not_to_answer,2,2,3
54,7,7,7,7,7,7,77,7,7,7,56-70,high_school,female,6,6,6
55,2,3,3,3,2,2,91,2,2,2,18-25,some_college,female,2,2,2
56,2,2,3,2,3,4,62,3,2,2,18-25,some_college,male,4,3,2
57,3,4,3,2,2,3,83,3,3,3,56-70,high_school,female,2,3,2
58,4,2,4,2,2,2,51,2,4,3,41-55,some_college,male,2,4,4
59,6,6,6,5,5,6,88,7,5,5,56-70,high_school,female,2,4,3
60,7,6,6,6,6,6,54,6,6,6,35-40,bachelor,male,5,6,5
61,6,4,4,4,4,4,67,5,4,4,41-55,bachelor,female,4,5,5
62,6,5,5,6,6,7,92,7,7,7,41-55,master,female,6,6,6
63,6,7,7,7,7,7,82,7,5,5,41-55,high_school,female,3,1,4
64,2,2,2,2,4,5,75,2,2,3,41-55,high_school,male,3,3,4
65,7,5,3,2,2,3,86,4,2,1,41-55,associate,female,5,5,6
66,4,3,6,3,5,5,84,3,4,3,41-55,high_school,female,2,4,4
67,3,3,4,5,5,6,93,3,5,5,18-25,high_school,female,3,3,4
68,3,3,4,4,4,4,95,3,4,4,56-70,associate,female,4,5,5
69,3,3,4,4,4,4,95,3,4,4,56-70,associate,female,4,5,5
70,4,1,3,4,2,2,76,7,2,2,56-70,high_school,female,2,2,2
71,1,1,1,1,1,1,94,1,1,1,older_than_70,associate,female,1,3,3
72,6,7,6,7,5,5,85,7,4,5,56-70,associate,male,3,6,5
