user_id,aid,csv_row_id,ps,human_sensitivity,ds_sensitivity,start_time,complete,end_time
72,693714fc-f0eb-c1bb-f61e-74193500c4b1,352.0,0.5,2.3,2.5,2025-12-08 18:14:57.580280,1,2025-12-08 18:34:12.969237
73,693714ff-2322-5c11-023a-ab383780b5bc,24.0,0.2,0.9,0.7,2025-12-08 18:15:25.157641,1,2025-12-08 18:31:41.234622
74,69371589-0aea-d369-ac06-f744244e72d3,140.0,0.35,0.7,1.9,2025-12-08 18:15:26.854038,1,2025-12-08 18:20:50.681771
75,69371557-62f3-fb1b-f7b9-7d079742ef66,,0.2,1.9,2.1,2025-12-08 18:15:28.121534,0,
76,69371590-1bed-51e1-35b6-33b870716b34,305.0,0.5,1.5,1.9,2025-12-08 18:15:37.195020,1,2025-12-08 18:25:28.369420
77,6937159b-5161-bbc7-2482-e2e3e4d418e7,194.0,0.35,1.7,1.7,2025-12-08 18:15:55.611408,1,2025-12-08 18:27:07.815287
78,693715b2-0a09-41a3-3396-7d4141314c2f,347.0,0.5,2.3,1.5,2025-12-08 18:16:10.861851,1,2025-12-08 18:23:54.757309
79,693715b7-df26-9c2e-5848-3931e55fac62,308.0,0.5,1.5,2.5,2025-12-08 18:16:20.582089,1,2025-12-08 18:24:13.834210
80,693715b8-4252-e58f-78ef-26e021cb421f,,0.2,2.5,1.9,2025-12-08 18:16:32.624787,0,
81,69371594-30de-189d-f8dd-e4a404f7ec1e,187.0,0.35,1.5,2.5,2025-12-08 18:16:53.149350,1,2025-12-08 18:27:13.212730
82,69371591-7c87-c4e1-b9a3-8541a9a1fb0b,11.0,0.2,0.5,2.5,2025-12-08 18:17:30.600187,1,2025-12-08 18:31:04.050541
83,693714f3-25ee-aa94-024e-e286d45a83a3,205.0,0.35,1.9,1.7,2025-12-08 18:26:52.745889,1,2025-12-08 18:40:23.491749
84,69371f72-01d6-1ec9-81ea-2db38d106e17,221.0,0.35,2.3,0.5,2025-12-08 18:57:42.520058,1,2025-12-08 19:05:03.602990
85,69372004-b02b-4b64-3668-d513642a40ba,183.0,0.35,1.5,1.7,2025-12-08 19:01:21.890770,1,2025-12-08 19:11:47.972793
86,6937224e-221e-a310-b121-10bc9b813b3a,117.0,0.2,2.5,1.7,2025-12-08 19:10:01.617969,1,2025-12-08 19:37:38.288142
87,69372326-2d8a-5a27-ac7e-34fbff172f5e,,0.35,2.5,0.5,2025-12-08 19:13:31.806878,0,
88,6937233d-c198-f744-f687-f80efaa99111,121.0,0.2,2.5,2.5,2025-12-08 19:14:07.515408,1,2025-12-08 19:22:30.141501
89,6937236c-3d3f-6629-48d6-dded5e8e6f01,172.0,0.35,1.3,1.7,2025-12-08 19:14:37.981910,1,2025-12-08 19:20:00.236987
90,69372350-20fe-fc50-864a-e1a4b67f65be,79.0,0.2,1.9,0.7,2025-12-08 19:15:08.131191,1,2025-12-08 19:25:19.753789
91,6937236f-8b0f-538c-bffb-f79f2724dddd,184.0,0.35,1.5,1.9,2025-12-08 19:15:09.316309,1,2025-12-08 19:26:28.311498
92,6937236c-bded-6edc-73d8-02a325e45fb2,95.0,0.2,2.1,1.7,2025-12-08 19:15:24.560104,1,2025-12-08 19:32:38.552176
93,6937236e-5ab1-810d-9f7c-0d4055bf78a2,,0.2,1.1,0.5,2025-12-08 19:15:43.407867,0,
94,6937234c-c0e5-7ed3-8a26-33422f2ad7fc,316.0,0.5,1.7,1.9,2025-12-08 19:16:02.486192,1,2025-12-08 19:23:26.152692
