user_id,ps,dprime_h,dprime_s,accuracy,hit_rate,false_alarm_rate,dprime_s_group,dprime_h_group
74,0.2,1.1,0.9,0.85,0.7272727272727273,0.08955223880597014,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
79,0.5,0.9,1.9,0.88,0.9183673469387755,0.1568627450980392,Medium-High (1.5-1.9),Medium-Low (0.9-1.3)
65,0.5,0.5,1.7,0.8,0.6363636363636364,0.11940298507462686,Medium-High (1.5-1.9),Low (0.5-0.7)
76,0.35,1.3,2.5,0.71,0.5531914893617021,0.1509433962264151,High (2.1-2.5),Medium-Low (0.9-1.3)
77,0.5,1.7,2.5,0.8,0.7058823529411765,0.15151515151515152,High (2.1-2.5),Medium-High (1.5-1.9)
72,0.5,2.5,1.9,0.83,0.851063829787234,0.18867924528301888,Medium-High (1.5-1.9),High (2.1-2.5)
78,0.35,1.9,0.7,0.84,0.8043478260869565,0.12962962962962962,Low (0.5-0.7),Medium-High (1.5-1.9)
81,0.5,2.5,1.9,0.82,0.7096774193548387,0.13043478260869565,Medium-High (1.5-1.9),High (2.1-2.5)
73,0.2,1.1,1.9,0.76,0.058823529411764705,0.0963855421686747,Medium-High (1.5-1.9),Medium-Low (0.9-1.3)
82,0.5,0.5,2.3,0.71,0.47368421052631576,0.2345679012345679,High (2.1-2.5),Low (0.5-0.7)
83,0.5,0.5,2.1,0.77,0.6944444444444444,0.1875,High (2.1-2.5),Low (0.5-0.7)
84,0.2,2.5,1.3,0.74,0.6486486486486487,0.20634920634920634,Medium-Low (0.9-1.3),High (2.1-2.5)
85,0.5,2.3,2.3,0.8,0.6060606060606061,0.1044776119402985,High (2.1-2.5),High (2.1-2.5)
89,0.35,2.5,1.7,0.77,0.6486486486486487,0.15873015873015872,Medium-High (1.5-1.9),High (2.1-2.5)
88,0.5,0.7,2.1,0.93,0.8636363636363636,0.05128205128205128,High (2.1-2.5),Low (0.5-0.7)
91,0.2,1.1,2.1,0.78,0.6944444444444444,0.171875,High (2.1-2.5),Medium-Low (0.9-1.3)
94,0.2,2.5,1.3,0.48,0.7045454545454546,0.6964285714285714,Medium-Low (0.9-1.3),High (2.1-2.5)
86,0.35,0.9,0.5,0.88,0.7777777777777778,0.0975609756097561,Low (0.5-0.7),Medium-Low (0.9-1.3)
90,0.2,0.9,1.5,0.68,0.1,0.175,Medium-High (1.5-1.9),Medium-Low (0.9-1.3)
92,0.35,1.5,1.1,0.85,0.5714285714285714,0.0759493670886076,Medium-Low (0.9-1.3),Medium-High (1.5-1.9)
