user_id,ps,dprime_h,dprime_s,accuracy,hit_rate,false_alarm_rate,dprime_s_group,dprime_h_group
35,0.2,1.7,0.7,0.74,0.7894736842105263,0.2716049382716049,Low (0.5-0.7),Medium-High (1.5-1.9)
53,0.2,1.7,1.5,0.75,0.16666666666666666,0.12195121951219512,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
57,0.5,2.1,1.5,0.66,0.7083333333333334,0.38461538461538464,Medium-High (1.5-1.9),High (2.1-2.5)
56,0.35,1.5,2.1,0.73,0.6857142857142857,0.24615384615384617,High (2.1-2.5),Medium-High (1.5-1.9)
58,0.2,1.3,2.3,0.83,0.6190476190476191,0.11392405063291139,High (2.1-2.5),Medium-Low (0.9-1.3)
50,0.5,1.5,1.7,0.68,0.8301886792452831,0.48936170212765956,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
47,0.2,2.5,1.9,0.89,0.55,0.025,Medium-High (1.5-1.9),High (2.1-2.5)
54,0.35,1.7,0.5,0.59,0.5555555555555556,0.390625,Low (0.5-0.7),Medium-High (1.5-1.9)
49,0.5,1.3,2.5,0.8,0.7346938775510204,0.13725490196078433,High (2.1-2.5),Medium-Low (0.9-1.3)
68,0.5,1.3,2.3,0.72,0.7959183673469388,0.35294117647058826,High (2.1-2.5),Medium-Low (0.9-1.3)
46,0.2,1.3,0.7,0.78,0.42857142857142855,0.12658227848101267,Low (0.5-0.7),Medium-Low (0.9-1.3)
63,0.5,1.7,1.5,0.68,0.7142857142857143,0.35294117647058826,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
66,0.2,0.5,1.3,0.74,0.25,0.1375,Medium-Low (0.9-1.3),Low (0.5-0.7)
69,0.35,2.3,1.3,0.72,0.3684210526315789,0.06451612903225806,Medium-Low (0.9-1.3),High (2.1-2.5)
45,0.2,1.7,1.3,0.79,0.4375,0.14285714285714285,Medium-Low (0.9-1.3),Medium-High (1.5-1.9)
43,0.35,0.7,2.1,0.72,0.59375,0.22058823529411764,High (2.1-2.5),Low (0.5-0.7)
74,0.35,1.3,2.1,0.83,0.6756756756756757,0.07936507936507936,High (2.1-2.5),Medium-Low (0.9-1.3)
62,0.35,0.5,2.1,0.67,0.6764705882352942,0.3333333333333333,High (2.1-2.5),Low (0.5-0.7)
55,0.2,2.3,1.9,0.85,0.5714285714285714,0.0759493670886076,Medium-High (1.5-1.9),High (2.1-2.5)
72,0.5,1.9,1.3,0.79,0.7608695652173914,0.18518518518518517,Medium-Low (0.9-1.3),Medium-High (1.5-1.9)
51,0.5,1.5,1.7,0.72,0.6981132075471698,0.2553191489361702,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
78,0.2,1.5,1.7,0.77,0.7142857142857143,0.21518987341772153,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
73,0.35,1.1,0.5,0.66,0.47368421052631576,0.22580645161290322,Low (0.5-0.7),Medium-Low (0.9-1.3)
79,0.5,2.3,1.1,0.66,0.68,0.36,Medium-Low (0.9-1.3),High (2.1-2.5)
67,0.35,0.7,0.9,0.55,0.5142857142857142,0.4307692307692308,Medium-Low (0.9-1.3),Low (0.5-0.7)
81,0.35,0.7,1.1,0.53,0.3235294117647059,0.36363636363636365,Medium-Low (0.9-1.3),Low (0.5-0.7)
83,0.5,2.5,1.7,0.81,0.7872340425531915,0.16981132075471697,Medium-High (1.5-1.9),High (2.1-2.5)
77,0.2,2.5,1.7,0.79,0.75,0.2,Medium-High (1.5-1.9),High (2.1-2.5)
84,0.35,1.5,1.7,0.82,0.8235294117647058,0.18181818181818182,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
91,0.2,1.5,2.3,0.82,0.7368421052631579,0.16049382716049382,High (2.1-2.5),Medium-High (1.5-1.9)
76,0.35,2.5,2.5,0.64,0.0,0.0,High (2.1-2.5),High (2.1-2.5)
93,0.2,1.5,2.3,0.87,0.9473684210526315,0.14814814814814814,High (2.1-2.5),Medium-High (1.5-1.9)
88,0.5,2.5,1.1,0.82,0.7647058823529411,0.12244897959183673,Medium-Low (0.9-1.3),High (2.1-2.5)
86,0.5,1.3,1.1,0.72,0.76,0.32,Medium-Low (0.9-1.3),Medium-Low (0.9-1.3)
82,0.35,2.1,2.1,0.86,0.8108108108108109,0.1111111111111111,High (2.1-2.5),High (2.1-2.5)
75,0.35,1.7,0.7,0.85,0.7941176470588235,0.12121212121212122,Low (0.5-0.7),Medium-High (1.5-1.9)
92,0.2,2.3,1.7,0.82,0.45454545454545453,0.07692307692307693,Medium-High (1.5-1.9),High (2.1-2.5)
85,0.35,1.9,1.5,0.85,0.8055555555555556,0.125,Medium-High (1.5-1.9),Medium-High (1.5-1.9)
95,0.5,1.5,2.3,0.82,0.9038461538461539,0.2708333333333333,High (2.1-2.5),Medium-High (1.5-1.9)
94,0.5,0.7,0.7,0.64,0.7254901960784313,0.4489795918367347,Low (0.5-0.7),Low (0.5-0.7)
